"","time_jjj","t2m_2016_daxing","d2m_2016_daxing","u10_2016_daxing","v10_2016_daxing","blh_2016_daxing","sp_2016_daxing","e_2016_daxing","tp_2016_daxing","fal_2016_daxing","wind_direction","wind_speed"
"1",0,-5.75504464237412,-7.63042668861578,-1.15281507388364,-0.899682520604928,29.9121599288051,102269.638644843,1.83008516951529e-07,-1.73472347597681e-18,0.148847164627258,163.459361852514,1.46233075343965
"2",1,-5.88063563853768,-8.00657922279271,-0.603742597071576,-0.404772578861375,63.7903819683515,102295.972156204,-3.37605669699067e-06,-1.73472347597681e-18,0.148847164627258,176.433598379226,0.72687410472297
"3",2,-0.59240116900969,-5.73009538878551,-0.650717320672931,-0.322680748677029,153.248767794049,102253.545943456,-1.33601712182076e-05,-1.73472347597681e-18,0.148847164627258,199.880350612701,0.726330432372571
"4",3,0.18675073922833,-5.64094941247765,-0.922373033575105,0.0236146729052091,241.713171555016,102207.828041788,-2.31944303619953e-05,-1.73472347597681e-18,0.148847164627258,-278.135969987123,0.922675276488409
"5",4,1.25366454158871,-4.82558987307681,-0.788539387088226,0.46615568849668,319.326604442682,102061.530756451,-3.05186119338448e-05,-1.73472347597681e-18,0.148847164627258,-186.641928734709,0.916021555918467
"6",5,3.95082263395574,-5.38655723618461,-0.657807844990116,0.988901365762511,378.220041777932,101954.733738155,-3.59508693656514e-05,-1.73472347597681e-18,0.148822613747117,-105.656396653231,1.18770243417175
"7",6,4.13981879323103,-5.48983611117541,-0.302838471361012,1.30169954629252,405.637380396734,101820.871722071,-3.61756524317951e-05,-1.73472347597681e-18,0.148810338307047,-41.1448283334266,1.33646281226019
"8",7,4.15688941406881,-5.48222608880764,-0.0595448557275801,1.37435553392694,382.195970036852,101838.793139525,-2.32318942063526e-05,-1.73472347597681e-18,0.148773511986837,-7.79374402471652,1.3756448391497
"9",8,2.015745828989,-4.20265518497456,-0.1481764096924,1.78575826910366,131.132666853807,101820.505978858,-9.3702717941566e-06,-1.73472347597681e-18,0.148773511986837,-14.9016767394574,1.79189532173657
"10",9,1.69872001343049,-4.84624564807496,-0.00149118788062286,2.53873850458765,44.2420680286618,101867.686853379,3.32863894380643e-07,-1.73472347597681e-18,0.148810338307047,-0.105727229156844,2.53873894252978
"11",10,-2.67257825109749,-6.0268862611274,0.420838166761745,2.08817702282874,22.78862179824,101857.446043406,1.75648997995754e-06,-1.73472347597681e-18,0.148847164627258,35.7965807512137,2.13016150591295
"12",11,-0.688728243737103,-5.05715198226665,-0.401219496261962,1.15261323400371,13.6771195382153,101885.974014046,1.49424306945659e-06,-1.73472347597681e-18,0.148871715507398,-60.2958899221238,1.22044842225355
"13",12,0.0245798412695422,-4.71252668361325,-1.13287297424155,0.0599426667224194,14.1741105705805,101905.724147567,1.13833654806234e-06,-1.73472347597681e-18,0.148871715507398,-273.228037559155,1.13445771144662
"14",13,-0.12539775609082,-4.67338942572201,-0.91218040486915,-0.18586103170312,12.6831374734857,101887.802730113,6.70038493596255e-07,-1.73472347597681e-18,0.148871715507398,246.562760306352,0.930922883021465
"15",14,-0.148565027227789,-4.35376848627686,-0.517326831955876,-0.473654229475825,11.2749962151179,101888.53421654,3.51595816559282e-07,-1.73472347597681e-18,0.148896266387538,149.29915207998,0.701409566631252
"16",15,-2.38603568703502,-5.58550496379843,-0.391913183095656,-0.877980082740101,12.8488011509403,101910.47880934,5.7637888270306e-07,-1.73472347597681e-18,0.148896266387538,75.5711763419708,0.961480612790754
"17",16,-3.7699753049539,-5.92578167824172,-0.433570013459121,-1.43469479318566,17.4873841196804,101864.395164459,1.19453231459826e-06,-1.73472347597681e-18,0.148896266387538,52.8259086241652,1.49877687003936
"18",17,-4.60643572600446,-6.24431547163431,-0.460602637418392,-1.67294981757126,17.8187114745901,101850.496922352,1.55043883599251e-06,-1.73472347597681e-18,0.148896266387538,48.3600732869484,1.73519908993421
"19",18,-4.53205659235419,-6.22909542689882,-0.204457446460061,-1.53471472421486,15.2509244740377,101827.820843125,1.51297499163523e-06,-1.73472347597681e-18,0.148896266387538,23.8395488625368,1.54827392025277
"20",19,-4.22722407739406,-6.0888535861219,0.225405590269317,-1.1539784773254,12.9316329896678,101819.408749218,7.07502337953534e-07,-1.73472347597681e-18,0.148896266387538,-34.7220563369413,1.17578654791374
"21",20,-4.55034654325181,-6.30954423478636,0.415077115754032,-0.994984530359168,13.0144648283954,101754.672200456,6.13842727060338e-07,-1.73472347597681e-18,0.148896266387538,-71.139495889511,1.07809240219785
